timestamp,src_ip,dst_ip,protocol,length,label
2023-06-15T14:22:35,192.168.1.100,10.0.0.15,TCP,1280,attack-portscan
2023-06-15T14:23:12,192.168.1.105,10.0.0.16,TCP,960,attack-synflood
2023-06-15T14:25:45,192.168.1.110,10.0.0.20,UDP,512,normal
2023-06-15T14:30:22,192.168.1.120,10.0.0.25,TCP,768,attack-bruteforce
2023-06-15T14:35:10,192.168.1.125,10.0.0.30,ICMP,128,normal
2023-06-15T14:40:05,192.168.1.130,10.0.0.35,TCP,1024,attack-dos
2023-06-15T14:45:30,192.168.1.135,10.0.0.40,UDP,256,normal
2023-06-15T14:50:15,192.168.1.140,10.0.0.45,TCP,1536,attack-portscan
2023-06-15T14:55:42,192.168.1.145,10.0.0.50,TCP,2048,attack-synflood
2023-06-15T15:00:18,192.168.1.150,10.0.0.55,ICMP,64,normal 2025-05-05T02:41:03.565394,192.168.1.3,66.22.238.36,UDP,201,attack,Normal
2025-05-05T02:41:03.621160,192.168.1.3,66.22.238.36,UDP,198,attack,Normal
2025-05-05T02:41:03.688855,66.22.238.36,192.168.1.3,UDP,265,attack,Normal
2025-05-05T02:41:03.756516,66.22.238.36,192.168.1.3,UDP,254,attack,Normal
2025-05-05T02:41:03.819572,66.22.238.36,192.168.1.3,UDP,257,attack,Normal
2025-05-05T02:41:03.876295,192.168.1.3,66.22.238.36,UDP,201,attack,Normal
2025-05-05T02:41:03.937928,66.22.238.36,192.168.1.3,UDP,253,attack,Normal
2025-05-05T02:41:03.998470,192.168.1.3,66.22.238.36,UDP,202,attack,Normal
2025-05-05T02:41:04.058242,66.22.238.36,192.168.1.3,UDP,245,attack,Normal
2025-05-05T02:41:04.114175,192.168.1.3,104.18.19.125,TCP,391,attack,Port Scan
2025-05-05T02:41:04.177427,192.168.1.3,104.18.19.125,TCP,85,attack,Port Scan
2025-05-05T02:41:04.242881,192.168.1.3,66.22.238.36,UDP,201,attack,Normal
2025-05-05T02:41:04.298212,66.22.238.36,192.168.1.3,UDP,257,attack,Normal
2025-05-05T02:41:04.358568,192.168.1.3,66.22.238.36,UDP,198,attack,Normal
2025-05-05T02:41:04.418283,66.22.238.36,192.168.1.3,UDP,258,attack,Normal
2025-05-05T02:41:04.481548,192.168.1.3,66.22.238.36,UDP,203,attack,Normal
2025-05-05T02:41:04.541151,66.22.238.36,192.168.1.3,UDP,94,attack,Normal
2025-05-05T02:41:04.599303,66.22.238.36,192.168.1.3,UDP,94,attack,Normal
2025-05-05T02:41:04.661997,66.22.238.36,192.168.1.3,UDP,261,attack,Normal
2025-05-05T02:41:04.728151,104.18.19.125,192.168.1.3,TCP,60,attack,Suspicious Activity
2025-05-05T02:41:04.789433,104.18.19.125,192.168.1.3,TCP,89,attack,Suspicious Activity
2025-05-05T02:41:04.846502,192.168.1.3,66.22.238.36,UDP,199,attack,Normal
2025-05-05T02:41:04.905518,104.18.19.125,192.168.1.3,TCP,89,attack,Suspicious Activity
2025-05-05T02:41:04.968850,192.168.1.3,104.18.19.125,TCP,54,attack,Port Scan
2025-05-05T02:41:05.031239,66.22.238.36,192.168.1.3,UDP,260,attack,Normal
2025-05-05T02:41:05.102213,192.168.1.3,66.22.238.36,UDP,202,attack,Normal
2025-05-05T02:41:05.164556,66.22.238.36,192.168.1.3,UDP,262,attack,Normal
2025-05-05T02:41:05.235282,192.168.1.3,66.22.238.36,UDP,201,attack,Normal
2025-05-05T02:41:05.298384,104.18.19.125,192.168.1.3,TCP,60,attack,Suspicious Activity
2025-05-05T02:41:05.371185,66.22.238.36,192.168.1.3,UDP,94,attack,Normal
2025-05-05T02:41:05.451867,66.22.238.36,192.168.1.3,UDP,260,attack,Normal
2025-05-05T02:41:05.511439,192.168.1.3,66.22.238.36,UDP,204,attack,Normal
2025-05-05T02:41:05.583014,66.22.238.36,192.168.1.3,UDP,243,attack,Normal
2025-05-05T02:41:05.651557,192.168.1.3,66.22.238.36,UDP,200,attack,Normal
2025-05-05T02:41:05.729309,192.168.1.3,162.159.128.233,TCP,55,attack,Port Scan
2025-05-05T02:41:05.800759,104.18.19.125,192.168.1.3,TCP,135,attack,Suspicious Activity
2025-05-05T02:41:05.863352,66.22.238.36,192.168.1.3,UDP,246,attack,Normal
2025-05-05T02:41:05.936987,192.168.1.3,66.22.238.36,UDP,202,attack,Normal
2025-05-05T02:41:06.010261,66.22.238.36,192.168.1.3,UDP,227,attack,Normal
2025-05-05T02:41:06.077605,192.168.1.3,66.22.238.36,UDP,204,attack,Normal
2025-05-05T02:41:06.138959,66.22.238.36,192.168.1.3,UDP,164,attack,Normal
2025-05-05T02:41:06.208610,192.168.1.3,104.18.19.125,TCP,54,attack,Port Scan
2025-05-05T02:41:06.287353,192.168.1.3,66.22.238.36,UDP,203,attack,Normal
2025-05-05T02:41:06.409391,162.159.128.233,192.168.1.3,TCP,66,attack,Suspicious Activity
2025-05-05T02:41:06.506295,66.22.238.36,192.168.1.3,UDP,204,attack,Normal
2025-05-05T02:41:06.569936,192.168.1.3,66.22.238.36,UDP,199,attack,Normal
2025-05-05T02:41:06.636302,66.22.238.36,192.168.1.3,UDP,262,attack,Normal
2025-05-05T02:41:06.701534,192.168.1.3,66.22.238.36,UDP,202,attack,Normal
